title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Sybil, or, The Two Nations vol. 3","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1845","Sybil traces the plight of the working classes of England. As the title suggests, Disraeli is interested in dealing with the horrific conditions in which the majority of England&#39;s working classes lived — or, what is generally called the Condition of England Question.","Social classes--fiction; Poor families--fiction; Rich people--fiction; Landlord and tenant--fiction; Chartism--fiction; England Social conditions--fiction","London","","","","vjwp_113","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_113_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_113.pdf","http://localhost:4000/items/vjwp_113.html"
"Tancred, or, The New Crusade vol. 1","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1847","Tancred is part of the Young England series, sharing a number of characters with the other novels. It is concerned less with the political and social conditions of England than with the religious theme of how Judaism and Christianity are to be reconciled. ","Great Britain--fiction; Social classes--fiction","London","","","","vjwp_114","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_114_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_114.pdf","http://localhost:4000/items/vjwp_114.html"
"Tancred, or, The New Crusade vol. 2","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1847","Tancred is part of the Young England series, sharing a number of characters with the other novels. It is concerned less with the political and social conditions of England than with the religious theme of how Judaism and Christianity are to be reconciled.","Great Britain--fiction; Social classes--fiction","London","","","","vjwp_115","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_115_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_115.pdf","http://localhost:4000/items/vjwp_115.html"
"Tancred, or, The New Crusade vol. 3","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1847","Tancred is part of the Young England series, sharing a number of characters with the other novels. It is concerned less with the political and social conditions of England than with the religious theme of how Judaism and Christianity are to be reconciled.","Great Britain--fiction; Social classes--fiction","London","","","","vjwp_116","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_116_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_116.pdf","http://localhost:4000/items/vjwp_116.html"
"A Vindication of the English Constitution ","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1835","A political essay advocating for conservativism against the Whigs. ","Constitutional history--England; Great Britain--Politics and Government--1837-1907","London","","","","vjwp_117","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_117_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_117.pdf","http://localhost:4000/items/vjwp_117.html"
"Vivan Grey vol. 1","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1827","Vivian Grey follows its eponymous hero from childhood through his attempt to succeed in the world of politics. The first edition was published in 1826. The version digitized on VJWP is the third edition, published in 1827. ","Judaism--Relations--Islam--Fiction; Islam--Relations--Judaism--Fiction; Crusades--Seonc, 1147-1149--fiction; Messianism--fiction; Princes--fiction; Jerusalem--history--Latin Kingdom, 1099-1244--fiction; Kurdistan--fiction","London","","","","vjwp_118","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_118_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_118.pdf","http://localhost:4000/items/vjwp_118.html"
"Vivian Grey vol. 2","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1827","Vivian Grey follows its eponymous hero from childhood through his attempt to succeed in the world of politics. The first edition was published in 1826. The version digitized on VJWP is the third edition, published in 1827. ","Great Britain--fiction; Social classes--fiction","London","","","","vjwp_119","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_119_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_119.pdf","http://localhost:4000/items/vjwp_119.html"
"Vivian Grey vol. 3","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1827","Vivian Grey follows its eponymous hero from childhood through his attempt to succeed in the world of politics. The first edition was published in 1826. The version digitized on VJWP is the third edition, published in 1827. ","Great Britain--fiction; Social classes--fiction","London","","","","vjwp_120","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_120_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_120.pdf","http://localhost:4000/items/vjwp_120.html"
"Vivian Grey vol. 4","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1827","Vivian Grey follows its eponymous hero from childhood through his attempt to succeed in the world of politics. The first edition was published in 1826. The version digitized on VJWP is the third edition, published in 1827. ","Great Britain--fiction; Social classes--fiction","London","","","","vjwp_121","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_121_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_121.pdf","http://localhost:4000/items/vjwp_121.html"
"Vivian Grey vol. 5","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1827","Vivian Grey follows its eponymous hero from childhood through his attempt to succeed in the world of politics. The first edition was published in 1826. The version digitized on VJWP is the third edition, published in 1827. ","Great Britain--fiction; Social classes--fiction","London","","","","vjwp_122","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_122_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_122.pdf","http://localhost:4000/items/vjwp_122.html"
"The Wondrous Tale of Alroy","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1833","A fictionalised account of David Alroy, a medieval Jew from Iraq who claimed to be the messiah. ","Judaism--Relations--Islam--Fiction; Islam--Relations--Judaism--Fiction; Crusades--Seonc, 1147-1149--fiction; Messianism--fiction; Princes--fiction; Jerusalem--history--Latin Kingdom, 1099-1244--fiction; Kurdistan--fiction","London","","","","vjwp_123","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_123_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_123.pdf","http://localhost:4000/items/vjwp_123.html"
"The Young Duke vol. 1","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1831","A political novel about young aristocrats and the future of the English aristocracy. ","Nobility--fiction; Young men--fiction; Fathers and sons--fiction; Catholic emancipation--fiction","London","","","","vjwp_124","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_124_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_124.pdf","http://localhost:4000/items/vjwp_124.html"
"The Young Duke vol. 2","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1831","A political novel about young aristocrats and the future of the English aristocracy. ","Nobility--fiction; Young men--fiction; Fathers and sons--fiction; Catholic emancipation--fiction","London","","","","vjwp_125","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_125_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_125.pdf","http://localhost:4000/items/vjwp_125.html"
"The Young Duke vol. 3","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1831","A political novel about young aristocrats and the future of the English aristocracy. ","Nobility--fiction; Young men--fiction; Fathers and sons--fiction; Catholic emancipation--fiction","London","","","","vjwp_126","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_126_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_126.pdf","http://localhost:4000/items/vjwp_126.html"
"Zofloya; or, The Moor vol. 2","&lt;a href=&quot;/charlotte-dacre.html&quot;&gt;Charlotte Dacre&lt;/a&gt;","1806","Gothic novel focusing on lust, betrayal, and multiple murders set in Venice in the last days of the fifteenth century.","Gothic fiction; Horror fiction","London","","","","vjwp_127","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_127_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_127.pdf","http://localhost:4000/items/vjwp_127.html"
"Zofloya; or, The Moor vol. 3","&lt;a href=&quot;/charlotte-dacre.html&quot;&gt;Charlotte Dacre&lt;/a&gt;","1806","Gothic novel focusing on lust, betrayal, and multiple murders set in Venice in the last days of the fifteenth century.","Gothic fiction; Horror fiction","London","","","","vjwp_128","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_128_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_128.pdf","http://localhost:4000/items/vjwp_128.html"
"The Constancy of Israel","Solomon Yom Tov Bennett","1809","The Constancy of Israel is a defense of Judaism against Christian polemics with special reference to the Hebrew Bible.","Jewish philosophy; Judaism--Apologetic works","London","","","","vjwp_129","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_129_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_129.pdf","http://localhost:4000/items/vjwp_129.html"
"A Discourse on Sacrifices","Solomon Yom Tov Bennett","1815","A Discourse on Sacrifices is an essay explaining the role of the Temple and the sacrifices in Jewish theology. ","Jewish philosophy; Judaism--Apologetic works","London","","","","vjwp_130","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_130_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_130.pdf","http://localhost:4000/items/vjwp_130.html"
"The Temple of Ezekiel","Solomon Yom Tov Bennett","1824","A line-by-line interpretation of Ezekiel&#39;s vision complete with translations from the Hebrew of difficult portions of the Book of Ezekiel.","Jewish philosophy; Judaism--Apologetic works","London","","","","vjwp_131","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_131_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_131.pdf","http://localhost:4000/items/vjwp_131.html"
"The Jewish Manual; or Practical Information in Jewish and Modern Cookery","&lt;a href=&quot;/judith-montefiore.html&quot;&gt;Judith Montefiore&lt;/a&gt;","1846","Descriptive cookbook with recipes focused on English, Ashkenazi, and Sephardic cuisine. Includes beauty tips.","Jewish cooking; Beauty, personal; London (England)--Social life and customs","London","","","","vjwp_132","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_132_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_132.pdf","http://localhost:4000/items/vjwp_132.html"
