subject,count,link
"zoology--iran",1,"victorianjewishwritersproject.org/browse.html#zoology--iran"
"oceania--description and travel",1,"victorianjewishwritersproject.org/browse.html#oceania--description%20and%20travel"
"new zealand--description and travel",1,"victorianjewishwritersproject.org/browse.html#new%20zealand--description%20and%20travel"
"hebrew--dictionary",1,"victorianjewishwritersproject.org/browse.html#hebrew--dictionary"
"london (england)--social life and customs",1,"victorianjewishwritersproject.org/browse.html#london%20(england)--social%20life%20and%20customs"
"beauty, personal",1,"victorianjewishwritersproject.org/browse.html#beauty,%20personal"
"jewish cooking",1,"victorianjewishwritersproject.org/browse.html#jewish%20cooking"
"great britain--politics and government--1837-1907",1,"victorianjewishwritersproject.org/browse.html#great%20britain--politics%20and%20government--1837-1907"
"constitutional history--england",1,"victorianjewishwritersproject.org/browse.html#constitutional%20history--england"
"literature--biography",1,"victorianjewishwritersproject.org/browse.html#literature--biography"
"haggadah",1,"victorianjewishwritersproject.org/browse.html#haggadah"
"spain--history--ferdinand and isabella,1479-1516--fiction",1,"victorianjewishwritersproject.org/browse.html#spain--history--ferdinand%20and%20isabella,1479-1516--fiction"
"inquisition--fiction",1,"victorianjewishwritersproject.org/browse.html#inquisition--fiction"
"literature--jewish authors",1,"victorianjewishwritersproject.org/browse.html#literature--jewish%20authors"
"english poetry--jewish authors",1,"victorianjewishwritersproject.org/browse.html#english%20poetry--jewish%20authors"
"jews--great britain",1,"victorianjewishwritersproject.org/browse.html#jews--great%20britain"
"scotland--history--robert i, 1306-1329--fiction",1,"victorianjewishwritersproject.org/browse.html#scotland--history--robert%20i,%201306-1329--fiction"
